LOCUS	ID_MSU7	ID_IRGSP	ID_NCBI	Aliases
Chr02_06250599	LOC_Os02g12030	Os02g0211800	LOC107275524	OsRLCK65
Chr02_06256373	LOC_Os02g12040	Os02g0211900	LOC107275524	#N/A
Chr02_06469018	LOC_Os02g12400	Os02g0215500	LOC4328722	#N/A
Chr02_06480629	LOC_Os02g12420	Os02g0215700	LOC4328724	#N/A
Chr02_06486045	LOC_Os02g12440	Os02g0215900	LOC4328725	OsGIRL1
Chr02_06491390	LOC_Os02g12450	Os02g0216000	LOC107276445	#N/A
Chr02_06815291	LOC_Os02g12910	None	LOC107280158	#N/A
Chr02_06831702	None	None	None	#N/A
Chr02_07157124	LOC_Os02g13410	Os02g0227500	LOC107277122	#N/A
Chr02_07164822	LOC_Os02g13420	Os02g0227600	LOC9271199	#N/A
Chr02_07175908	LOC_Os02g13430	Os02g0227700	LOC4328792	OsRLK5
Chr02_07184521	LOC_Os02g13460	Os02g0227900	LOC107278718	OsRLCK70
Chr02_07224407	LOC_Os02g13510	Os02g0228300	LOC4328793	#N/A
Chr02_07438310	LOC_Os02g13780	Os02g0231700	LOC4328808	#N/A
Chr02_07501547	LOC_Os02g13850	Os02g0232500	LOC9267718	#N/A
Chr02_07715581	LOC_Os02g14120	Os02g0236100	LOC4328829	OsSERL4, OsBAK1-9, Docs1,C68
Chr02_07978622	LOC_Os02g14480	Os02g0241100	LOC4328844	#N/A
Chr02_09136748	LOC_Os02g16060	None	LOC4328942	#N/A
Chr02_09155586	LOC_Os02g16110	Os02g0261800	LOC4328943	#N/A
Chr02_09238439	LOC_Os02g16260	None	LOC4328945	#N/A
Chr02_09258106	LOC_Os02g16270	Os02g0262800	LOC4328946	rNBS41
Chr02_09284788	LOC_Os02g16330	Os02g0263432	LOC9270343,LOC112936130	#N/A
Chr02_09335830	LOC_Os02g16390	None	None	#N/A
Chr02_09374342	LOC_Os02g16430	None	None	#N/A
Chr02_09928190	LOC_Os02g17304	Os02g0272900	LOC4328990	#N/A
Chr02_10013470	LOC_Os02g17400	None	LOC9268112	#N/A
Chr02_10216361	LOC_Os02g17710	Os02g0277700	LOC4329010	#N/A
Chr02_10240110	LOC_Os02g17730	None	None	#N/A
Chr02_10446319	LOC_Os02g18000	Os02g0281200	LOC4329024	#N/A
Chr02_10490446	LOC_Os02g18070	None	LOC4329026	#N/A
Chr02_10504703	LOC_Os02g18080	Os02g0282000	LOC4329027	#N/A
Chr02_10535335	LOC_Os02g18140	Os02g0282500	LOC4329029	#N/A
Chr02_10634894	LOC_Os02g18320	Os02g0283800	LOC4329032	OsSERK4, OsSERL9, OsSERK2, OsBAK1-5, OsTMS10, SERK4, SERL9, SERK2, BAK1-5, OsBAK1, BAK1
Chr02_10780758	LOC_Os02g18510	Os02g0286850	LOC4329040	#N/A
Chr02_11550975	LOC_Os02g19750	Os02g0300500	LOC107276063	#N/A
Chr02_11707030	LOC_Os02g19890	Os02g0301800	LOC4329096	#N/A
Chr02_11904935	LOC_Os02g20190,LOC_Os02g20210	None	LOC9272672,LOC4329108	#N/A
Chr02_12048692	LOC_Os02g20420	Os02g0307075	LOC107277623	#N/A
Chr02_12079958	LOC_Os02g20460	Os02g0307400	LOC107277613	#N/A
Chr02_15193087	LOC_Os02g25900	Os02g0456800	LOC4329283	#N/A
Chr02_15453705	LOC_Os02g26310	Os02g0461300	None	#N/A
Chr02_15828738	LOC_Os02g26950	None	None	#N/A
Chr02_16277883	LOC_Os02g27500	Os02g0475500	LOC107277902	#N/A
Chr02_16314711	LOC_Os02g27540	None	LOC107279995	#N/A
Chr02_16404455	LOC_Os02g27680,LOC_Os02g27690	None	None	#N/A
Chr02_16412907	LOC_Os02g27710	Os02g0478300	None	#N/A
Chr02_17910631	LOC_Os02g30150	Os02g0504200	LOC107277447	#N/A
Chr02_18173358	LOC_Os02g30540	None	LOC107279954	#N/A
Chr02_18570061	None	Os02g0515125	None	#N/A
Chr02_20851069	LOC_Os02g34750,LOC_Os02g34770	Os02g0552600	LOC4329639	Ogg
Chr02_20865338	LOC_Os02g34790,LOC_Os02g34800	Os02g0553000	LOC4329642	XIK1
Chr02_21166678	LOC_Os02g35210	None	LOC107276977	#N/A
Chr02_23209809	LOC_Os02g38392	Os02g0597300	LOC107278342	#N/A
Chr02_23614417	LOC_Os02g39100	Os02g0603100	LOC4329908	#N/A
Chr02_23952926	LOC_Os02g39660	Os02g0609900	LOC4329947	#N/A
Chr02_23966075	LOC_Os02g39670	Os02g0610000	None	#N/A
Chr02_24293135	LOC_Os02g40130	Os02g0614966	LOC107280197	#N/A
Chr02_24315760	LOC_Os02g40180	None	LOC4329980	#N/A
Chr02_24323716	LOC_Os02g40190	Os02g0615400	LOC107280067	#N/A
Chr02_24327253	LOC_Os02g40200	Os02g0615500	LOC4329982	#N/A
Chr02_24351053	LOC_Os02g40240	Os02g0615800	LOC4329983	LP2, OsLP2
Chr02_25179492	LOC_Os02g41890	Os02g0629400	LOC4330050	OsPSKR1
Chr02_25488155	LOC_Os02g42370	Os02g0635600	LOC4330078	#N/A
Chr02_28555557	LOC_Os02g46770	Os02g0695050	None	#N/A
Chr02_30319694	LOC_Os02g49600	Os02g0728500	LOC4330602	OsSERL3
Chr02_32882650	None	None	LOC4330905	ER2,OsER2, OsRLCK85, RLCK85
Chr02_35112673	LOC_Os02g57305	Os02g0818450	LOC107278029	#N/A
Chr02_35710557	LOC_Os02g58390	Os02g0830700	LOC4331246	#N/A
Chr03_00294916	LOC_Os03g01410	None	LOC107280262	OsRLCK94
Chr03_01562203	LOC_Os03g03570	Os03g0127700	LOC4331481	#N/A
Chr03_02498898	LOC_Os03g05140	Os03g0145102	LOC4331599	OsRLCK99
Chr03_04397476	LOC_Os03g08550	Os03g0183800	LOC4331852	#N/A
Chr03_04434654	LOC_Os03g08610	Os03g0184400	LOC4331857	#N/A
Chr03_05599784	LOC_Os03g10900	None	LOC107277809	#N/A
Chr03_05607032	LOC_Os03g10910	None	LOC107275341	#N/A
Chr03_05844737	LOC_Os03g11340	Os03g0211900	LOC4332035	#N/A
Chr03_06435032	LOC_Os03g12250	Os03g0223000	LOC4332106	OsRLCK377
Chr03_06808312	LOC_Os03g12730	Os03g0228800	LOC4332141	OsBRR1
Chr03_08126003	LOC_Os03g14900	Os03g0254000	LOC4332282	#N/A
Chr03_08828823	LOC_Os03g16010	Os03g0266800	LOC4332359	OsBAK1-10
Chr03_10437624	LOC_Os03g18630	Os03g0297800	LOC4332550	#N/A
Chr03_11586186	LOC_Os03g20450	Os03g0320800	LOC4332673	#N/A
Chr03_11801524	LOC_Os03g20840	Os03g0324600	LOC4332698	#N/A
Chr03_12118231	LOC_Os03g21230	Os03g0329700	LOC4332725	#N/A
Chr03_12289253	LOC_Os03g21510	Os03g0332900	LOC4332740	#N/A
Chr03_12411774	LOC_Os03g21730	Os03g0335500	LOC4332757	#N/A
Chr03_15011162	LOC_Os03g26260	Os03g0379801	LOC107276559	T580-9
Chr03_16033507	None	None	None	#N/A
Chr03_16078643	LOC_Os03g27990	Os03g0397700	LOC9272509	#N/A
Chr03_16265236	LOC_Os03g28270	Os03g0400800,Os03g0400901	LOC9267322	#N/A
Chr03_17605272	LOC_Os03g30910	Os03g0422900	LOC107278598	#N/A
Chr03_18636039	LOC_Os03g32580	Os03g0440900	LOC4333213	OsI-BAK1, I-BAK1
Chr03_20491235	LOC_Os03g36920	Os03g0566700	LOC9267256,LOC112936143	#N/A
Chr03_20917410	LOC_Os03g37720	Os03g0573500	LOC433292	#N/A
Chr03_21233922	LOC_Os03g38250	Os03g0579200	LOC9266605	#N/A
Chr03_21268409	LOC_Os03g38330	Os03g0579900	LOC107280315,LOC4333319	YR35,r9
Chr03_22354801	LOC_Os03g40194	Os03g0599000	LOC9268533	#N/A
Chr03_22371179	LOC_Os03g40250	Os03g0599400	LOC4333389	#N/A
Chr03_24882541	LOC_Os03g44260,LOC_Os03g44270	None	LOC9270700	#N/A
Chr03_26337827	LOC_Os03g46550	None	LOC4333674	#N/A
Chr03_27521472	LOC_Os03g48320	Os03g0689400	LOC4333771	#N/A
Chr03_27536734	LOC_Os03g48370	Os03g0689833,Os03g0689866	LOC9270938	#N/A
Chr03_27839942	LOC_Os03g48880	None	LOC112938258	#N/A
Chr03_27845904	LOC_Os03g48890	None	LOC112938258	#N/A
Chr03_28258645	LOC_Os03g49620	Os03g0703200	LOC4333843	OsSERL8, OsBAK1-6, SERL8, BAK1-6, TMS10L
Chr03_28600569	LOC_Os03g50150	Os03g0709200	LOC9269265	#N/A
Chr03_28799060	LOC_Os03g50450	Os03g0712400	LOC4333893	#N/A
Chr03_29019984	LOC_Os03g50810	Os03g0717000	LOC4333912	OsTMK
Chr03_29430450	LOC_Os03g51440	Os03g0724300	LOC4333955	#N/A
Chr03_30449074	LOC_Os03g53090	None	None	#N/A
Chr03_30556158	LOC_Os03g53250	Os03g0744300	LOC4334076	#N/A
Chr03_31212255	LOC_Os03g54900	Os03g0756200	LOC4334156	OsJRPK21
Chr03_32048249	LOC_Os03g56250	Os03g0773300	LOC4334271	#N/A
Chr03_32078746	LOC_Os03g56270	Os03g0773700	LOC4334273	OsRLCK117
Chr03_32926375	LOC_Os03g57780	Os03g0791700	LOC4334385	#N/A
Chr03_35698494	LOC_Os03g63150	Os03g0848700	LOC4334783	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
Chr03_35715776	LOC_Os03g63200	None	LOC4334784	#N/A
Chr03_35732118	LOC_Os03g63220,LOC_Os03g63240	Os03g0849500	LOC4334785,LOC112936108	#N/A
Chr04_00643202	LOC_Os04g02030	Os04g0111100	LOC107278166	#N/A
Chr04_00687590	LOC_Os04g02110	Os04g0111900	LOC4334935	PIC22
Chr04_00694789	LOC_Os04g02120	Os04g0112100	LOC4334937	#N/A
Chr04_00894626	LOC_Os04g02450	None	None	#N/A
Chr04_00926563	LOC_Os04g02520	Os04g0115650	LOC9269285	Bph33
Chr04_00948781	LOC_Os04g02550	Os04g0115800	LOC4334946	#N/A
Chr04_01115784	LOC_Os04g02860	Os04g0118800	LOC107280527	#N/A
Chr04_01164656	LOC_Os04g02920	Os04g0119800	LOC107280577	#N/A
Chr04_01335588	LOC_Os04g03180	Os04g0122000	LOC4334979	#N/A
Chr04_01362382	LOC_Os04g03210	Os04g0122200	LOC107277108	#N/A
Chr04_02034812	LOC_Os04g04330	Os04g0132500	LOC4335004	OsRLCK127, CTB4a, qCTB4-1
Chr04_04473512	LOC_Os04g08370	Os04g0165900	LOC11293876	#N/A
Chr04_04489784	LOC_Os04g08390	Os04g0166000	LOC4335049	#N/A
Chr04_06250562	LOC_Os04g11430	None	LOC112938775	#N/A
Chr04_06448630	LOC_Os04g11780	Os04g0193950	None	OsLR10
Chr04_06893910	LOC_Os04g12460	Os04g0201000	LOC9272060	#N/A
Chr04_07084934	LOC_Os04g12830	Os04g0205200	LOC4335162	#N/A
Chr04_07976062	LOC_Os04g14220	Os04g0219600	LOC4335194	rNBS17
Chr04_08168920	LOC_Os04g14570	None	LOC107280602	#N/A
Chr04_08171255	LOC_Os04g14570	None	LOC107280602	#N/A
Chr04_08445383	LOC_Os04g15530	Os04g0226340	None	#N/A
Chr04_08462635	LOC_Os04g15560	Os04g0226340	None	#N/A
Chr04_08485404	LOC_Os04g15600,LOC_Os04g15630	Os04g0226800	LOC107280750,LOC9268140	#N/A
Chr04_08508017	LOC_Os04g15650	Os04g0227000	LOC107275257,LOC9270694	#N/A
Chr04_08514940	LOC_Os04g15660	Os04g0227200	LOC107276266	#N/A
Chr04_12396117	LOC_Os04g21890	None	LOC107278355	#N/A
Chr04_12512922	LOC_Os04g22090	None	None	#N/A
Chr04_12726551	LOC_Os04g22470	Os04g0291900	LOC4335399,LOC112938764	#N/A
Chr04_13001704	LOC_Os04g22910	Os04g0295500	LOC4335408	#N/A
Chr04_14180680	LOC_Os04g24700	None	LOC4335457	#N/A
Chr04_15062899	LOC_Os04g25900	Os04g0325300	LOC4335486	#N/A
Chr04_15374854	LOC_Os04g26350	None	LOC107278506	#N/A
Chr04_16672467	LOC_Os04g28210	Os04g0349700	LOC4335549	OsVWR
Chr04_18248976	LOC_Os04g30530,LOC_Os04g30540	None	LOC9271144	#N/A
Chr04_18278719	LOC_Os04g30610	None	LOC4335604	#N/A
Chr04_18318639	LOC_Os04g30660	Os04g0375300	LOC112938814	rNBS56
Chr04_18340866	LOC_Os04g30690	None	LOC107278229	rNBS56
Chr04_18490353	LOC_Os04g30930	Os04g0378575	LOC107276806	rNBS44
Chr04_19903657	LOC_Os04g32940	Os04g0401900	LOC4335731	#N/A
Chr04_20063410	None	None	None	#N/A
Chr04_21398235	LOC_Os04g35210	Os04g0431700	LOC9268705	BPH6
Chr04_22872310	LOC_Os04g38480	Os04g0457800	LOC4336035	OsSERK2, OsBiSERK1, OsSERK1, OsSerk2, OsBAK1-2
Chr04_23122613	LOC_Os04g38910	Os04g0463000	LOC4336071	#N/A
Chr04_23506845	LOC_Os04g39460	Os04g0470500	LOC4336120	#N/A
Chr04_23626733	LOC_Os04g39650	Os04g0472500	LOC4336131	#N/A
Chr04_24032554	LOC_Os04g40440	Os04g0480500	LOC4336178	#N/A
Chr04_24348138	LOC_Os04g41030	Os04g0487200	LOC4336221	OsMSrlk3
Chr04_24541590	LOC_Os04g41370	None	LOC107276986	#N/A
Chr04_25218033	LOC_Os04g42620	Os04g0505200	LOC4336334	#N/A
Chr04_25257440	LOC_Os04g42700	Os04g0506100	LOC4336341	#N/A
Chr04_25636768	LOC_Os04g43340	Os04g0512900	LOC4336386	#N/A
Chr04_25712533	LOC_Os04g43440	Os04g0514600	LOC107277938	#N/A
Chr04_26703331	LOC_Os04g45170	Os04g0534166,Os04g054200	LOC4336507	#N/A
Chr04_27434506	LOC_Os04g46300	Os04g0548100	LOC4336576	#N/A
Chr04_29082551	LOC_Os04g48760	Os04g0576900	LOC4336741	OsXIAO
Chr04_31270896	LOC_Os04g52590	Os04g0616200,Os04g0616282	LOC4336996,LOC107280525	OsRLCK159
Chr04_31282283	LOC_Os04g52600	Os04g0616300	LOC4336997	#N/A
Chr04_31298318	LOC_Os04g52606	Os04g0616400	LOC4336998	#N/A
Chr04_31307667	LOC_Os04g52614	Os04g0616500	LOC9268723	#N/A
Chr04_31316299	LOC_Os04g52630	Os04g0616600	LOC4337000	#N/A
Chr04_31327869	LOC_Os04g52640	Os04g0616700	LOC4337001	#N/A
Chr04_31425084	LOC_Os04g52780	Os04g0618700	LOC4337016	Os-FLS2, FLS2, OsFLS2
Chr04_31553065	LOC_Os04g52970	Os04g0620950	LOC107278549	Pi63, Pikahei-1(t), RGA3, RGA1-NB,YR19,r4
Chr04_31565144	LOC_Os04g53000	None	LOC4337035	#N/A
Chr04_31577881	LOC_Os04g53030	Os04g0621500	LOC9269204	#N/A
Chr04_31586751	LOC_Os04g53040	None	LOC112938629	#N/A
Chr04_31600121	LOC_Os04g53050,LOC_Os04g53060	None	LOC9267606,LOC4337039	#N/A
Chr04_31638099	LOC_Os04g53120	None	LOC4337041	XA1-like
Chr04_31656691	LOC_Os04g53160	Os04g0623066	LOC107278759	HWC2
