ID_NIP	ID_KIT	Gene-Fam	NIP_canoncal	KIT_canonical
Chr01_42347939	kitaake_Chr01_43422890	RLK	Canonic	Canonic
Chr01_43179010	kitaake_Chr01_44204410	RLK	Canonic	Canonic
Chr02_00442462	kitaake_Chr02_00466588	RLK	Canonic	Canonic
Chr02_00640263	kitaake_Chr02_00662478	RLK	Canonic	Canonic
Chr02_00884467	kitaake_Chr02_00906992	RLK	Canonic	Canonic
Chr02_00967172	kitaake_Chr02_00989803	NLR	notCanonic	notCanonic
Chr02_00978126	kitaake_Chr02_01000736	NLR	notCanonic	notCanonic
Chr02_00990259	kitaake_Chr02_01012869	NLR	notCanonic	notCanonic
Chr02_01000584	kitaake_Chr02_01023194	UC	Canonic	Canonic
Chr02_01949926	kitaake_Chr02_01985629	RLK	Canonic	Canonic
Chr02_02011707	kitaake_Chr02_02047409	NLR	Canonic	Canonic
Chr02_02783389	kitaake_Chr02_02838405	NLR	Canonic	Canonic
Chr02_02822776	kitaake_Chr02_02877909	RLK	Canonic	Canonic
Chr02_02937231	kitaake_Chr02_02992452	RLK	Canonic	Canonic
Chr02_02941396	kitaake_Chr02_02996617	RLK	Canonic	Canonic
Chr02_02948804	kitaake_Chr02_03004028	RLK	Canonic	Canonic
Chr02_02955585	kitaake_Chr02_03010809	RLK	Canonic	Canonic
Chr02_02962078	kitaake_Chr02_03017302	RLK	Canonic	Canonic
Chr02_02968558	kitaake_Chr02_03023782	RLK	Canonic	Canonic
Chr02_02975382	kitaake_Chr02_03030606	RLK	Canonic	Canonic
Chr02_02982180	kitaake_Chr02_03037404	RLK	Canonic	Canonic
Chr02_03000982	kitaake_Chr02_03056206	RLP	Canonic	Canonic
Chr02_03007866	kitaake_Chr02_03063089	RLP	Canonic	Canonic
Chr02_03031113	kitaake_Chr02_03086337	RLP	Canonic	Canonic
Chr02_03037668	kitaake_Chr02_03092892	RLP	Canonic	Canonic
Chr02_03051079	kitaake_Chr02_03106303	UC	Canonic	Canonic
Chr02_03055299	kitaake_Chr02_03110523	UC	Canonic	Canonic
Chr02_03061490	kitaake_Chr02_03116714	UC	notCanonic	notCanonic
Chr02_03073434	kitaake_Chr02_03128658	RLP	notCanonic	notCanonic
Chr02_03087074	kitaake_Chr02_03142316	RLP	Canonic	Canonic
Chr02_03095021	kitaake_Chr02_03150263	RLP	Canonic	Canonic
Chr02_03099379	kitaake_Chr02_03154621	RLP	Canonic	Canonic
Chr02_03104785	kitaake_Chr02_03160027	RLP	notCanonic	notCanonic
Chr02_03108639	kitaake_Chr02_03163881	RLP	Canonic	Canonic
Chr02_03113436	kitaake_Chr02_03168678	RLP	notCanonic	notCanonic
Chr02_03126569	kitaake_Chr02_03181811	RLP	notCanonic	notCanonic
Chr02_03129256	kitaake_Chr02_03184498	RLP	Canonic	Canonic
Chr02_03135045	kitaake_Chr02_03190287	RLP	Canonic	Canonic
Chr02_03323244	kitaake_Chr02_03396396	RLP	notCanonic	notCanonic
Chr02_03333547	kitaake_Chr02_03406891	RLP	notCanonic	notCanonic
Chr02_04086437	kitaake_Chr02_04160578	RLK	Canonic	Canonic
Chr02_04174984	kitaake_Chr02_04249240	RLK	Canonic	Canonic
Chr02_05020121	kitaake_Chr02_05110056	RLK	Canonic	Canonic
Chr02_05051397	kitaake_Chr02_05141334	NLR	Canonic	Canonic
Chr02_05263890	kitaake_Chr02_05354333	RLK	notCanonic	notCanonic
Chr02_05270236	kitaake_Chr02_05360679	RLK	Canonic	Canonic
Chr02_06183952	kitaake_Chr02_06278628	RLK	Canonic	Canonic
Chr02_06212210	kitaake_Chr02_06306886	RLK	Canonic	Canonic
Chr02_06231985	kitaake_Chr02_06326691	RLK	Canonic	Canonic
Chr02_06250599	kitaake_Chr02_06345305	RLK	Canonic	Canonic
Chr02_06256373	kitaake_Chr02_06351079	RLP	Canonic	Canonic
Chr02_06469018	kitaake_Chr02_06563844	RLK	Canonic	Canonic
Chr02_06480629	kitaake_Chr02_06575456	RLK	Canonic	Canonic
Chr02_06486045	kitaake_Chr02_06580872	RLK	Canonic	Canonic
Chr02_06491390	kitaake_Chr02_06586217	RLK	Canonic	Canonic
Chr02_06815291	kitaake_Chr02_06910427	RLK	Canonic	Canonic
Chr02_06831402	kitaake_Chr02_06926875	RLK	Canonic	Canonic
Chr02_07157124	kitaake_Chr02_07245979	RLK	Canonic	Canonic
Chr02_07164822	kitaake_Chr02_07253678	RLP	Canonic	Canonic
Chr02_07175908	kitaake_Chr02_07264776	RLK	Canonic	Canonic
Chr02_07184521	kitaake_Chr02_07273389	UC	notCanonic	notCanonic
Chr02_07224407	kitaake_Chr02_07313442	RLK	Canonic	Canonic
Chr02_07438310	kitaake_Chr02_07526764	RLK	Canonic	Canonic
Chr02_07501547	kitaake_Chr02_07589982	RLK	Canonic	Canonic
Chr02_07715581	kitaake_Chr02_07804196	RLK	Canonic	Canonic
Chr02_07978622	kitaake_Chr02_08059905	RLK	Canonic	Canonic
Chr02_09136748	kitaake_Chr02_09218442	NLR	notCanonic	notCanonic
Chr02_09155586	kitaake_Chr02_09236230	NLR	notCanonic	notCanonic
Chr02_09238439	kitaake_Chr02_09319196	NLR	notCanonic	notCanonic
Chr02_09258106	kitaake_Chr02_09338872	NLR	Canonic	Canonic
Chr02_09284788	kitaake_Chr02_09365555	NLR	Canonic	Canonic
Chr02_09335830	None	UC	Canonic	NA
Chr02_09374342	kitaake_Chr02_09495497	UC	Canonic	Canonic
Chr02_09928190	kitaake_Chr02_10024804	NLR	Canonic	Canonic
Chr02_10013470	kitaake_Chr02_10094211	RLP	Canonic	Canonic
Chr02_10216361	kitaake_Chr02_10297159	RLK	notCanonic	notCanonic
Chr02_10240110	kitaake_Chr02_10320964	RLP	notCanonic	notCanonic
Chr02_10446319	kitaake_Chr02_10527758	NLR	Canonic	Canonic
Chr02_10490446	kitaake_Chr02_10571897	NLR	notCanonic	notCanonic
Chr02_10504703	kitaake_Chr02_10586137	NLR	Canonic	Canonic
Chr02_10535335	kitaake_Chr02_10617115	NLR	notCanonic	notCanonic
Chr02_10634894	kitaake_Chr02_10716131	RLK	Canonic	Canonic
Chr02_10780758	kitaake_Chr02_10862201	NLR	notCanonic	notCanonic
Chr02_11550975	kitaake_Chr02_11642644	NLR	notCanonic	notCanonic
Chr02_11707030	kitaake_Chr02_11799098	NLR	Canonic	Canonic
None	kitaake_Chr02_11809892	RLP	NA	notCanonic
Chr02_11904935	kitaake_Chr02_11997021	NLR	notCanonic	notCanonic
Chr02_12048692	kitaake_Chr02_12190105	NLR	notCanonic	notCanonic
Chr02_12079958	kitaake_Chr02_12210294	NLR	notCanonic	notCanonic
None	kitaake_Chr02_12251434	NLR	NA	notCanonic
Chr02_15193087	kitaake_Chr02_15316921	NLR	Canonic	Canonic
Chr02_15453705	kitaake_Chr02_15593585	UC	Canonic	Canonic
Chr02_15828738	kitaake_Chr02_15968794	UC	Canonic	Canonic
Chr02_16277883	kitaake_Chr02_16410828	NLR	notCanonic	notCanonic
None	kitaake_Chr02_16437004	UC	NA	notCanonic
Chr02_16314711	kitaake_Chr02_16447657	NLR	notCanonic	notCanonic
Chr02_16404455	kitaake_Chr02_16537302	NLR	notCanonic	notCanonic
Chr02_16412907	kitaake_Chr02_16545313	UC	Canonic	notCanonic
Chr02_17910631	kitaake_Chr02_18151572	NLR	Canonic	Canonic
Chr02_18173358	None	RLK	notCanonic	NA
Chr02_18570061	kitaake_Chr02_18908826	RLP	notCanonic	notCanonic
Chr02_20851069	kitaake_Chr02_21270284	RLK	notCanonic	notCanonic
Chr02_20865338	kitaake_Chr02_21284553	RLK	notCanonic	notCanonic
Chr02_21166678	kitaake_Chr02_21586212	NLR	Canonic	Canonic
Chr02_23209809	kitaake_Chr02_23665036	NLR	Canonic	Canonic
Chr02_23614417	kitaake_Chr02_24090586	RLP	Canonic	Canonic
Chr02_23952926	kitaake_Chr02_24442890	RLP	Canonic	Canonic
Chr02_23966075	kitaake_Chr02_24456055	RLP	Canonic	Canonic
None	kitaake_Chr02_24785177	RLK	NA	notCanonic
None	kitaake_Chr02_24794976	RLP	NA	notCanonic
None	kitaake_Chr02_24811378	RLP	NA	Canonic
None	kitaake_Chr02_24821006	RLK	NA	notCanonic
None	kitaake_Chr02_24826186	RLP	NA	notCanonic
None	kitaake_Chr02_24831489	RLK	NA	notCanonic
Chr02_24293135	None	UC	notCanonic	NA
Chr02_24315760	None	RLK	Canonic	NA
Chr02_24323716	None	UC	notCanonic	NA
Chr02_24327253	None	RLK	Canonic	NA
Chr02_24351053	None	RLK	Canonic	NA
None	kitaake_Chr02_25131608	RLK	NA	notCanonic
Chr02_25179492	kitaake_Chr02_25940830	RLK	Canonic	Canonic
Chr02_25488155	kitaake_Chr02_26224082	RLK	Canonic	Canonic
Chr02_28555557	kitaake_Chr02_29351681	UC	notCanonic	notCanonic
Chr02_30319694	kitaake_Chr02_31172205	RLK	Canonic	Canonic
None	kitaake_Chr02_31564558	RLK	NA	Canonic
Chr02_32882650	kitaake_Chr02_34112100	RLK	Canonic	Canonic
Chr02_35112673	kitaake_Chr02_36336823	NLR	notCanonic	notCanonic
Chr02_35710557	kitaake_Chr02_36934753	RLK	Canonic	Canonic
Chr03_00294916	kitaake_Chr03_00305204	RLK	notCanonic	notCanonic
Chr03_01562203	kitaake_Chr03_01652297	RLK	Canonic	Canonic
Chr03_02498898	kitaake_Chr03_02589821	RLK	Canonic	Canonic
Chr03_04397476	kitaake_Chr03_04523251	RLK	Canonic	Canonic
Chr03_04434654	kitaake_Chr03_04560429	RLP	Canonic	Canonic
Chr03_05599784	kitaake_Chr03_05772278	NLR	Canonic	Canonic
Chr03_05607032	kitaake_Chr03_05779526	NLR	Canonic	Canonic
Chr03_05844737	kitaake_Chr03_06017295	RLP	Canonic	Canonic
Chr03_06435032	kitaake_Chr03_06607690	RLK	Canonic	Canonic
Chr03_06808312	kitaake_Chr03_06984457	RLK	Canonic	Canonic
Chr03_08126003	kitaake_Chr03_08303843	NLR	Canonic	Canonic
Chr03_08828823	kitaake_Chr03_08955512	RLK	Canonic	Canonic
Chr03_10437624	kitaake_Chr03_10565607	RLK	Canonic	Canonic
Chr03_11586186	kitaake_Chr03_11712890	RLK	Canonic	Canonic
Chr03_11801524	kitaake_Chr03_11923968	NLR	Canonic	Canonic
Chr03_12118231	kitaake_Chr03_12241060	RLK	Canonic	Canonic
Chr03_12289253	kitaake_Chr03_12412125	RLK	Canonic	Canonic
Chr03_12411774	kitaake_Chr03_12534627	RLK	Canonic	Canonic
Chr03_15011162	kitaake_Chr03_15237242	NLR	Canonic	notCanonic
Chr03_16078643	kitaake_Chr03_16284962	RLK	Canonic	Canonic
Chr03_16265236	kitaake_Chr03_16472080	RLP	Canonic	Canonic
None	kitaake_Chr03_16860629	RLK	NA	Canonic
None	kitaake_Chr03_16923216	RLK	NA	notCanonic
None	kitaake_Chr03_16928730	RLK	NA	notCanonic
Chr03_17605272	kitaake_Chr03_18007801	NLR	notCanonic	notCanonic
Chr03_18636039	kitaake_Chr03_19042150	RLP	Canonic	Canonic
Chr03_20491235	kitaake_Chr03_20960546	NLR	Canonic	Canonic
Chr03_20917410	kitaake_Chr03_21425337	NLR	Canonic	Canonic
Chr03_21233922	kitaake_Chr03_21741788	NLR	Canonic	Canonic
Chr03_21268409	kitaake_Chr03_21776276	NLR	Canonic	Canonic
Chr09_08516455	kitaake_Chr03_22036385	NLR	Canonic	Canonic
Chr09_08537185	kitaake_Chr03_22057336	NLR	Canonic	Canonic
Chr09_08568977	kitaake_Chr03_22089127	NLR	Canonic	Canonic
Chr03_22354801	kitaake_Chr03_23021773	NLR	Canonic	Canonic
Chr03_22371179	kitaake_Chr03_23038150	NLR	Canonic	Canonic
Chr03_24882541	kitaake_Chr03_25575263	RLP	notCanonic	notCanonic
Chr03_26337827	kitaake_Chr03_27418703	NLR	Canonic	Canonic
Chr03_27521472	kitaake_Chr03_28615501	NLR	Canonic	Canonic
Chr03_27536734	kitaake_Chr03_28630763	NLR	notCanonic	notCanonic
Chr03_27839942	kitaake_Chr03_28934719	RLP	Canonic	Canonic
Chr03_27845904	kitaake_Chr03_28940709	RLP	notCanonic	notCanonic
Chr03_28258645	kitaake_Chr03_29353689	RLK	notCanonic	notCanonic
Chr03_28600569	kitaake_Chr03_29696050	NLR	Canonic	Canonic
Chr03_28799060	kitaake_Chr03_29894910	RLK	Canonic	Canonic
Chr03_29019984	kitaake_Chr03_30119735	RLK	Canonic	Canonic
Chr03_29430450	kitaake_Chr03_30533359	RLK	Canonic	Canonic
Chr03_30449074	kitaake_Chr03_31617222	RLK	Canonic	Canonic
Chr03_30556158	kitaake_Chr03_31724382	RLK	Canonic	Canonic
Chr03_31212255	kitaake_Chr03_32468226	RLK	Canonic	Canonic
Chr03_32048249	kitaake_Chr03_33328439	RLK	Canonic	Canonic
Chr03_32078746	kitaake_Chr03_33358934	RLK	Canonic	Canonic
Chr03_32926375	kitaake_Chr03_34228399	RLK	Canonic	Canonic
Chr03_35698494	kitaake_Chr03_37060767	NLR	Canonic	Canonic
Chr03_35715776	kitaake_Chr03_37078049	NLR	Canonic	Canonic
Chr03_35732118	kitaake_Chr03_37099743	NLR	notCanonic	notCanonic
Chr04_00643202	kitaake_Chr04_00667179	NLR	Canonic	Canonic
Chr04_00687590	kitaake_Chr04_00711582	NLR	Canonic	Canonic
Chr04_00694789	kitaake_Chr04_00721079	NLR	notCanonic	Canonic
Chr04_00894626	None	NLR	notCanonic	NA
Chr04_00926563	None	UC	notCanonic	NA
Chr04_00948781	kitaake_Chr04_00916664	NLR	notCanonic	notCanonic
Chr04_01115784	kitaake_Chr04_01108626	NLR	notCanonic	Canonic
Chr04_01164656	kitaake_Chr04_01158140	RLP	notCanonic	notCanonic
Chr04_01335588	kitaake_Chr04_01334782	RLP	notCanonic	notCanonic
Chr04_01362382	kitaake_Chr04_01361576	RLK	Canonic	Canonic
Chr04_02034812	kitaake_Chr04_02023164	RLK	Canonic	Canonic
None	kitaake_Chr04_03175876	NLR	NA	Canonic
None	kitaake_Chr04_03219288	NLR	NA	notCanonic
None	kitaake_Chr04_03220872	NLR	NA	Canonic
Chr04_04473512	kitaake_Chr04_05152775	NLR	Canonic	Canonic
Chr04_04489784	kitaake_Chr04_05168040	NLR	Canonic	Canonic
Chr04_06250562	kitaake_Chr04_06991606	NLR	Canonic	Canonic
Chr04_06448630	kitaake_Chr04_07189834	NLR	notCanonic	notCanonic
Chr04_06893910	kitaake_Chr04_07634670	NLR	notCanonic	notCanonic
Chr04_07084934	kitaake_Chr04_07811044	NLR	Canonic	Canonic
Chr04_07976062	kitaake_Chr04_08695349	NLR	notCanonic	notCanonic
Chr04_08168920	kitaake_Chr04_08888452	RLK	notCanonic	notCanonic
Chr04_08171255	kitaake_Chr04_08890727	RLK	Canonic	Canonic
Chr04_08445383	None	RLP	Canonic	NA
Chr04_08462635	kitaake_Chr04_09212057	RLK	notCanonic	notCanonic
Chr04_08485404	kitaake_Chr04_09234830	RLK	notCanonic	notCanonic
Chr04_08508017	kitaake_Chr04_09257443	RLK	Canonic	Canonic
Chr04_08514940	kitaake_Chr04_09264366	RLK	Canonic	Canonic
Chr04_12396117	kitaake_Chr04_13367371	NLR	Canonic	Canonic
Chr04_12512922	kitaake_Chr04_13484457	NLR	notCanonic	Canonic
Chr04_12726551	kitaake_Chr04_13698085	RLK	Canonic	Canonic
Chr04_13001704	kitaake_Chr04_13973260	NLR	Canonic	Canonic
Chr04_14180680	kitaake_Chr04_15272625	NLR	notCanonic	notCanonic
Chr04_15062899	None	NLR	Canonic	NA
Chr04_15374854	kitaake_Chr04_16229494	NLR	notCanonic	notCanonic
None	kitaake_Chr04_17303012	NLR	NA	Canonic
None	kitaake_Chr04_17325284	NLR	NA	Canonic
Chr04_16672467	kitaake_Chr04_17466992	RLP	Canonic	Canonic
Chr04_18248976	kitaake_Chr04_19246025	NLR	notCanonic	notCanonic
Chr04_18278719	kitaake_Chr04_19276211	NLR	notCanonic	notCanonic
Chr04_18318639	kitaake_Chr04_19315835	NLR	Canonic	Canonic
Chr04_18340866	kitaake_Chr04_19338036	NLR	notCanonic	Canonic
Chr04_18490353	kitaake_Chr04_19491503	NLR	Canonic	Canonic
Chr04_19903657	kitaake_Chr04_20923511	NLR	Canonic	Canonic
Chr04_20063410	kitaake_Chr04_21105488	RLP	notCanonic	notCanonic
Chr04_21398235	kitaake_Chr04_22497495	UC	notCanonic	notCanonic
Chr04_22872310	kitaake_Chr04_24074333	RLK	Canonic	Canonic
Chr04_23122613	kitaake_Chr04_24333943	RLK	Canonic	Canonic
Chr04_23506845	kitaake_Chr04_24734392	NLR	Canonic	Canonic
Chr04_23626733	kitaake_Chr04_24854525	RLK	Canonic	Canonic
Chr04_24032554	kitaake_Chr04_25281450	RLP	Canonic	Canonic
Chr04_24348138	kitaake_Chr04_25597348	RLK	Canonic	Canonic
Chr04_24541590	kitaake_Chr04_25790901	NLR	Canonic	Canonic
Chr04_25218033	kitaake_Chr04_26467992	RLP	Canonic	Canonic
Chr04_25257440	kitaake_Chr04_26507346	RLK	Canonic	Canonic
Chr04_25636768	kitaake_Chr04_26889961	NLR	Canonic	Canonic
Chr04_25712533	kitaake_Chr04_26965903	NLR	notCanonic	notCanonic
Chr04_26703331	kitaake_Chr04_27964880	RLK	Canonic	Canonic
Chr04_27434506	kitaake_Chr04_28719739	NLR	Canonic	Canonic
Chr04_29082551	kitaake_Chr04_30377864	RLK	notCanonic	Canonic
Chr04_31270896	kitaake_Chr04_32569620	RLK	Canonic	Canonic
Chr04_31282283	kitaake_Chr04_32581006	RLK	Canonic	Canonic
Chr04_31298318	kitaake_Chr04_32597041	RLK	Canonic	Canonic
Chr04_31307667	kitaake_Chr04_32606392	RLK	Canonic	Canonic
Chr04_31316299	kitaake_Chr04_32615024	RLK	notCanonic	notCanonic
Chr04_31327869	kitaake_Chr04_32626592	RLK	Canonic	Canonic
Chr04_31425084	kitaake_Chr04_32723941	RLK	Canonic	Canonic
Chr04_31553065	kitaake_Chr04_32862086	NLR	notCanonic	notCanonic
Chr04_31565144	kitaake_Chr04_32874169	NLR	Canonic	Canonic
Chr04_31577881	kitaake_Chr04_32886905	NLR	Canonic	Canonic
Chr04_31586751	kitaake_Chr04_32895775	NLR	notCanonic	notCanonic
Chr04_31600121	kitaake_Chr04_32909145	NLR	notCanonic	notCanonic
Chr04_31638099	kitaake_Chr04_32947107	NLR	Canonic	Canonic
Chr04_31656691	kitaake_Chr04_32972196	NLR	Canonic	Canonic
Chr04_31854429	kitaake_Chr04_33169942	NLR	Canonic	Canonic
Chr04_31861786	kitaake_Chr04_33177299	NLR	notCanonic	notCanonic
Chr04_32963620	kitaake_Chr04_34355224	RLP	Canonic	Canonic
Chr04_32974844	kitaake_Chr04_34366448	RLP	Canonic	Canonic
Chr04_32991267	kitaake_Chr04_34382868	RLP	notCanonic	notCanonic
Chr04_33113231	kitaake_Chr04_34509633	RLK	Canonic	Canonic
Chr04_34171618	kitaake_Chr04_35560666	RLP	Canonic	notCanonic
Chr04_34302180	kitaake_Chr04_35691097	RLK	Canonic	Canonic
Chr04_34332129	kitaake_Chr04_35720607	RLP	Canonic	Canonic
Chr04_34901951	kitaake_Chr04_36290308	RLK	Canonic	Canonic
Chr04_35043555	kitaake_Chr04_36431941	RLK	Canonic	Canonic
Chr05_00227008	kitaake_Chr05_00234196	UC	Canonic	Canonic
None	kitaake_Chr05_01537633	RLK	NA	Canonic
Chr05_03158232	kitaake_Chr05_03426863	RLK	notCanonic	notCanonic
Chr05_04172893	kitaake_Chr05_04438009	RLK	Canonic	Canonic
Chr05_04213542	kitaake_Chr05_04478668	RLP	Canonic	Canonic
