LOCUS	ID_OsKitaake
kitaake_Chr06_07498087	None
kitaake_Chr06_09115437	OsKitaake06g109400
kitaake_Chr06_09135929	OsKitaake06g109600
kitaake_Chr06_09368424	OsKitaake06g111000
kitaake_Chr06_09523921	OsKitaake06g112500
kitaake_Chr06_09550763	OsKitaake06g112600
kitaake_Chr06_09657702	OsKitaake06g113500
kitaake_Chr06_09959731	OsKitaake06g115200
kitaake_Chr06_10567772	OsKitaake06g118700
kitaake_Chr06_10580471	OsKitaake06g119000
kitaake_Chr06_10587149	OsKitaake06g119100
kitaake_Chr06_10603092	OsKitaake06g119200
kitaake_Chr06_10612265	OsKitaake06g119400
kitaake_Chr06_10628739	OsKitaake06g119501
kitaake_Chr06_10677873	OsKitaake06g119600
kitaake_Chr06_10686748	OsKitaake06g119700,OsKitaake06g119800
kitaake_Chr06_11714792	OsKitaake06g127900
kitaake_Chr06_12322469	OsKitaake06g131900
kitaake_Chr06_13310408	OsKitaake06g140700
kitaake_Chr06_13794222	OsKitaake06g144000
kitaake_Chr06_16567100	OsKitaake06g157100
kitaake_Chr06_17999031	None
kitaake_Chr06_19063477	OsKitaake06g172200
kitaake_Chr06_20151808	OsKitaake06g180500
kitaake_Chr06_20843470	OsKitaake06g186100
kitaake_Chr06_20862679	OsKitaake06g186200
kitaake_Chr06_20867447	OsKitaake06g186300
kitaake_Chr06_22070311	OsKitaake06g194200
kitaake_Chr06_22330326	OsKitaake06g195700
kitaake_Chr06_22365285	OsKitaake06g196100
kitaake_Chr06_22413666	OsKitaake06g196900
kitaake_Chr06_22464358	OsKitaake06g197400
kitaake_Chr06_22532817	OsKitaake06g197700
kitaake_Chr06_22545220	OsKitaake06g197800
kitaake_Chr06_22552385	OsKitaake06g198100
kitaake_Chr06_22562998	None
kitaake_Chr06_22586287	OsKitaake06g198703
kitaake_Chr06_22599216	OsKitaake06g199100
kitaake_Chr06_22610074	OsKitaake06g199500
kitaake_Chr06_22646152	OsKitaake06g199800
kitaake_Chr06_22687809	None
kitaake_Chr06_22725634	OsKitaake06g200600
kitaake_Chr06_22742435	OsKitaake06g200800
kitaake_Chr06_22940980	OsKitaake06g202700
kitaake_Chr06_24465559	OsKitaake06g216200
kitaake_Chr06_24533786	OsKitaake06g217100
kitaake_Chr06_24542970	OsKitaake06g217300
kitaake_Chr06_24549892	OsKitaake06g217400
kitaake_Chr06_24557063	OsKitaake06g217500,OsKitaake06g217600
kitaake_Chr06_24574655	OsKitaake06g217700,OsKitaake06g217800
kitaake_Chr06_24947837	OsKitaake06g221800
kitaake_Chr06_25332643	OsKitaake06g224800
kitaake_Chr06_25559310	OsKitaake06g227000
kitaake_Chr06_25910240	OsKitaake06g230800,OsKitaake06g230900
kitaake_Chr06_26603627	None
kitaake_Chr06_26895391	OsKitaake06g240800
kitaake_Chr06_27031219	OsKitaake06g242900
kitaake_Chr06_27330475	OsKitaake06g246200
kitaake_Chr06_27374280	OsKitaake06g246900
kitaake_Chr06_28161378	OsKitaake06g256300
kitaake_Chr06_28165947	OsKitaake06g256303
kitaake_Chr06_28589472	OsKitaake06g262600
kitaake_Chr06_28606858	OsKitaake06g262900
kitaake_Chr06_28609773	None
kitaake_Chr06_28614036	OsKitaake06g263100
kitaake_Chr06_28628113	OsKitaake06g263200
kitaake_Chr06_28637768	OsKitaake06g263300
kitaake_Chr06_28643873	OsKitaake06g263400
kitaake_Chr06_28665194	OsKitaake06g263700
kitaake_Chr06_29097381	OsKitaake06g268400,OsKitaake06g268403
kitaake_Chr06_29424088	OsKitaake06g272600
kitaake_Chr06_29649378	OsKitaake06g276000,OsKitaake06g276100,OsKitaake06g276200
kitaake_Chr06_29666416	OsKitaake06g276300
kitaake_Chr06_29674532	OsKitaake06g276400
kitaake_Chr06_29688263	OsKitaake06g276600
kitaake_Chr06_30274091	OsKitaake06g283900
kitaake_Chr07_00495384	OsKitaake07g005000
kitaake_Chr07_00912645	OsKitaake07g011600
kitaake_Chr07_01191889	OsKitaake07g016500
kitaake_Chr07_01211618	OsKitaake07g016900
kitaake_Chr07_01806319	OsKitaake07g025200
kitaake_Chr07_01841951	OsKitaake07g025500
kitaake_Chr07_02142599	OsKitaake07g029600
kitaake_Chr07_02157596	OsKitaake07g029700
kitaake_Chr07_02308606	OsKitaake07g032000
kitaake_Chr07_02760546	OsKitaake07g035700
kitaake_Chr07_03540867	OsKitaake07g045200
kitaake_Chr07_04496735	None
kitaake_Chr07_04546097	OsKitaake07g056700
kitaake_Chr07_05212604	None
kitaake_Chr07_05221720	OsKitaake07g063800
kitaake_Chr07_05242323	None
kitaake_Chr07_05613029	OsKitaake07g068100
kitaake_Chr07_05663783	OsKitaake07g068900
kitaake_Chr07_06188269	OsKitaake07g073300
kitaake_Chr07_07119572	OsKitaake07g080800
kitaake_Chr07_08381052	None
kitaake_Chr07_10074820	OsKitaake07g099300
kitaake_Chr07_10088690	OsKitaake07g099400
kitaake_Chr07_10102109	OsKitaake07g099500
kitaake_Chr07_10208051	None
kitaake_Chr07_11372145	OsKitaake07g106200,OsKitaake07g106300
kitaake_Chr07_14996732	None
kitaake_Chr07_15000410	None
kitaake_Chr07_15251597	OsKitaake07g127601
kitaake_Chr07_15765571	OsKitaake07g130800
kitaake_Chr07_16353860	OsKitaake07g135100
kitaake_Chr07_16567728	OsKitaake07g136000,OsKitaake07g136100
kitaake_Chr07_17364281	OsKitaake07g141400
kitaake_Chr07_17374523	OsKitaake07g141500
kitaake_Chr07_18572405	OsKitaake07g151100
kitaake_Chr07_18784885	OsKitaake07g152900
kitaake_Chr07_18800691	OsKitaake07g153100
kitaake_Chr07_20066649	OsKitaake07g164700
kitaake_Chr07_20087004	OsKitaake07g164800
kitaake_Chr07_20089324	OsKitaake07g164900
kitaake_Chr07_20101556	OsKitaake07g165000
kitaake_Chr07_20105474	OsKitaake07g165100
kitaake_Chr07_20708101	OsKitaake07g170500
kitaake_Chr07_20933520	OsKitaake07g172700
kitaake_Chr07_22578768	OsKitaake07g192800
